Position,Title,Artist,Last Week,Peak Position,Weeks on Chart,Chart Date
1,Single Ladies (Put A Ring On It),Beyonce,2,1,9,12-27-2008
2,Live Your Life,T.I. Featuring Rihanna,1,1,12,12-27-2008
3,Just Dance,Lady Gaga Featuring Colby O'Donis,4,3,19,12-27-2008
4,Circus,Britney Spears,3,3,2,12-27-2008
5,Whatever You Like,T.I.,5,1,19,12-27-2008
6,Womanizer,Britney Spears,10,1,11,12-27-2008
7,Heartless,Kanye West,16,4,6,12-27-2008
8,Hot N Cold,Katy Perry,7,3,20,12-27-2008
9,If I Were A Boy,Beyonce,6,3,10,12-27-2008
10,Love Lockdown,Kanye West,8,3,13,12-27-2008
11,Love Story,Taylor Swift,12,5,14,12-27-2008
12,I'm Yours,Jason Mraz,11,6,35,12-27-2008
13,Let It Rock,Kevin Rudolf Featuring Lil Wayne,15,5,16,12-27-2008
14,Miss Independent,Ne-Yo,9,7,17,12-27-2008
15,Right Now (Na Na Na),Akon,13,8,12,12-27-2008
16,So What,P!nk,14,1,17,12-27-2008
17,Gotta Be Somebody,Nickelback,17,10,11,12-27-2008
18,Can't Believe It,T-Pain Featuring Lil Wayne,23,7,20,12-27-2008
19,Mrs. Officer,Lil Wayne Featuring Bobby Valentino & Kidd Kidd,18,16,17,12-27-2008
20,Chicken Fried,Zac Brown Band,22,20,13,12-27-2008
21,Rehab,Rihanna,25,21,6,12-27-2008
22,Disturbia,Rihanna,21,1,26,12-27-2008
23,Addicted,Saving Abel,24,20,27,12-27-2008
24,Green Light,John Legend Featuring Andre 3000,27,24,15,12-27-2008
25,Pop Champagne,Jim Jones & Ron Browz Featuring Juelz Santana,30,25,9,12-27-2008
26,One More Drink,Ludacris Co-Starring T-Pain,28,25,7,12-27-2008
27,Chopped 'N' Skrewed,T-Pain Featuring Ludacris,29,27,9,12-27-2008
28,Better In Time,Leona Lewis,26,11,23,12-27-2008
29,Beautiful,Akon Featuring Colby O'Donis & Kardinal Offishall,19,19,2,12-27-2008
30,You Found Me,The Fray,20,15,4,12-27-2008
31,I'm So Paid,Akon Featuring Lil Wayne & Young Jeezy,32,31,9,12-27-2008
32,Viva La Vida,Coldplay,31,1,32,12-27-2008
33,Roll With Me,Montgomery Gentry,33,33,14,12-27-2008
34,Right Here (Departed),Brandy,53,34,14,12-27-2008
35,Love Remains The Same,Gavin Rossdale,39,27,28,12-27-2008
36,Shattered (Turn The Car Around),O.A.R.,36,36,19,12-27-2008
37,Gives You Hell,The All-American Rejects,46,37,5,12-27-2008
38,Closer,Ne-Yo,37,7,35,12-27-2008
39,Bust Your Windows,Jazmine Sullivan,34,31,10,12-27-2008
40,Untouched,The Veronicas,54,40,3,12-27-2008
41,Human,The Killers,40,32,11,12-27-2008
42,Already Gone,Sugarland,41,41,12,12-27-2008
43,Crush,David Archuleta,35,2,18,12-27-2008
44,Fall For You,Secondhand Serenade,44,21,27,12-27-2008
45,Trading Places,Usher,47,45,7,12-27-2008
