Code,Title,Credits,Grading,Semesters Offered,Prerequisites,Corequisites,Crosslisted,Distribution Category,Breadth Requirement,Forbidden Overlap,Description
AAS 2100,South Asian Diaspora,4,Stdnt Opt,Fall,,,ANTHR 2410,(CA-AS),(GHB),,"This interdisciplinary course (with an emphasis in anthropology) will introduce students to the multiple routes/roots, lived experiences, and imagined worlds of South Asians who have traveled to various lands at different historical moments spanning Fiji, South Africa, Mauritius, Britain, Malaysia, United States, Trinidad, and even within South Asia itself such as the Tamil-speaking population of Sri Lanka. The course will begin with the labor migrations of the 1830s and continue up to the present period. The primary exercise will be to compare and contrast the varied expressions of the South Asian Diaspora globally in order to critically evaluate this transnational identity. Thus, we will ask what, if any, are the ties that bind a fifth-generation Indo-Trinidadian whose ancestor came to the New World as an indentured laborer or ""coolie"" in the mid-19th century to labor in the cane fields, to a Pakistani medical doctor who migrated to the United States in the late 1980s. If Diaspora violates a sense of identity based on territorial integrity, then could ""culture"" serve as the basis for a shared identity?"
AAS 2130,Introduction to Asian American History,4,Stdnt Opt,Fall,,,"AMST 2640, HIST 2640",(HA-AS),,,"An introductory history of Chinese, Japanese, Asian Indians, Filipinos, and Koreans in the United States from the mid-nineteenth century to the 1990s. Major themes include racism and resistance, labor migration, community formation, imperialism, and struggles for equality"
AAS 2623,Introduction to Asian American Performance,4,Stdnt Opt,Fall,,,"AMST 2622, PMA 2621",,,,"An introduction to Asian American performance, this course will consider both historical and contemporary examples and forms through the analytics of Asian American studies, theatre studies, and performance studies. Throughout the semester, we will pay equal attention to various forms of performance — plays and other staged performances, performance art, as well as everyday performances — as well as both primary sources and theoretical/critical readings. Students will be introduced to key concepts of Asian American performance studies, such as Orientalism, yellow face, radicalized accents, and the performing body, and will begin to not only map a history of Asian American performance but also situate contemporary examples within this tradition"
AAS 2910,It's All Chinese to Me,4,Stdnt Opt,Fall,,,"AMST 2910, ENGL 2910",(CA-AS),,,"In her memoir Woman Warrior, Maxine Hong Kingston identified a conundrum familiar to many US-born children of Chinese immigrants when she asked: ""What is Chinese tradition and what is the movies?"" What is ""Chinese tradition""? Does it mean the same thing to people in China, Taiwan, Hong Kong, and Singapore, or to Chinese diasporic communities in North America?  Does ""Chineseness"" change across time and space? While there will be occasion to discuss what ""Chineseness"" means in different Asian contexts, this course will focus primarily on how ideas of ""China"" and ""Chineseness"" have been historically constructed by, for, and in the West—particularly in the US. Course materials include readings on the concept of ""Chineseness,"" Chinese American literature and film, and historical studies of East/West relations"
AAS 3312,Afro-Asia: Futurism and Feminisms,4,Graded,,,,"ASRC 3310, COML 3310, FGSS 3310, LGBT 3310",,,,"This course explores cultural representations of Afro-Asian intimacies and coalition in novels, songs, films, paintings, and poems. What affinities, loves and thefts, and tensions are present in cultural forms such as anime, jazz, kung fu, and K-pop? Students will consider the intersections and overlap between African and Asian diasporic cultures in global cities such as New York, Chicago, Havana, Lahore, Kingston, and Hong Kong to ask the question: when did Africa and Asia first encounter each other? This will be contextualized through a political and historical lens of the formation of a proto-Global South in the early twentieth, Afro-futurism, women of color feminisms, and Third World solidarity and internationalism. Tackling issues of race, gender, sexuality, and resistance, this seminar also reckons with the intertwined legacies of the institutions of African enslavement and Asian indenture by reading the novels of Patricia Powell and the paintings of Kehinde Wiley, for instance. Students will work in groups to produce Afro-Asia DJ visual soundtracks as part of the final project"
AAS 4050,Critical Filipino/Filipino American Studies,4,Stdnt Opt,Fall,,,"AMST 4052, ASIAN 4452",(CA-AS),,,"This course focuses on three major and interrelated themes within Filipino/Filipino American history: war/empire, labor/migration, and culture/imaginaries. How do we account for the overwhelming number of Filipinos in nursing, domestic work, and the U.S. military? How do filmmakers, visual/theatre artists, and writers continue to remember the oft-forgotten history of U.S.-Philippine relations? In what ways have diasporic and immigrant Filipinos as well as Filipino Americans created their own culture as well as engaged with their counterparts in the Philippines? By reading historical and sociological texts alongside popular cultural texts and artistic examples, this course considers the politics of history, memory, and cultural citizenship in Filipino America"
AAS 4640,Racial Ecologies of Transpacific Nuclearism,4,Stdnt Opt,Fall,,,"AMST 4640, COML 4640, FGSS 4641, FGSS 6641, SHUM 4640, SHUM 6640",,,,"This course examines contemporary literary and cultural memory work that mediates the emergence of nuclear energy in Asia and the Pacific after World War Two as a transpacific settler colonial and racial institution and discourse.  Building on current environmental humanities scholarship on the nuclear Pacific, this course foregrounds racial ecologies as well as women of color and queer of color critique as key methods to analyses of geo-cultural politics of transpacific nuclear modernity. For longer description and instructor bio visit http://societyhumanities.as.cornell.edu/courses"
AAS 4950,Independent Study,1-4,Stdnt Opt,"Fall, Spring",,,,,,,Independent reading course in topics not covered in regularly scheduled courses. Students select a topic in consultation with the faculty member who has agreed to supervise the course work
AEM 1101,Design Your Dyson,1,S/U NoAud,Fall,,,,,,,"This course is designed to help first-year students develop a deeper comprehension of the undergraduate experience within the  Dyson School of Applied Economics and Management. Through this course students will be exposed to the expectations and  opportunities available throughout their academic journey. The Design Your Dyson course seeks to create and foster a sense of  community around shared interests, enhance problem-solving skills through design thinking, and help students formulate  collaborative and lasting connections to peers, faculty, staff, alumni and the Dyson School. The course also will help students  understand, and benefit from, the location of Dyson as part of both the SC Johnson College of Business and the College of  Agriculture and Life Sciences"
AEM 1106,FWS: Topics in Applied Economics and Management,3,Graded,"Fall, Spring",,,,,,,The Dyson School offers first-year writing seminars on a wide range of Applied Economics and Management topics. Topics vary by section
AEM 1600,The Business of Modern Medicine,1,Graded,Fall,,,,,,,"Medicine as practiced today is no longer just a profession. It has become a multi trillion dollar business. The purpose of this lecture series is to present the changes that have occurred in medical practice through the eyes of someone who has lived and practiced medicine during these tumultuous times. Students will gain a better understanding of how third-party payers, the government and other regulatory agencies, new technology, and entrepreneurship have impacted the medical profession and healthcare in general. Upon completion of the course, students will have the capacity to asses their future career paths not only from a scientific, but a business perspective"
AEM 2010,Spreadsheet Modeling for Management and Economics,3,GradeNoAud,"Fall, Spring",,,,,,,"This course will be developed as a data-driven, model-based approach to decision-making. Most applications will rely on the standard array of Excel functionality but other platforms (e.g., Access, SQL, presentation software) may be employed. A unique feature of this course will be applications drawn from the diverse program areas of the Dyson School: management; international development/trade; environment/resource economics; and food/agricultural economics. Case material will be contributed by the companies from the DUAC. Key topics will include: Optimization (Solver), Data graphing, Financial modeling, Ethical/social dimensions of IT, Forecasting, Pivot tables, Exponential smoothing, and Simulation"
AEM 2011,Spreadsheet Modeling for Non-Dyson Majors,3,GradeNoAud,"Fall, Winter, Spring, Summer",,,,,,,"This course, while Excel based, will emphasize applied decision making in the business world. This introductory course is not simply a ""how to use Excel"" course, rather it covers the theory behind decision making and applying analytic tools like Excel to various business scenarios.  Understanding the value of such skills, this course will introduce students to methods used to navigate tools and applications, or typical business scenarios where such capabilities can be leveraged in business"
AEM 2100,Introductory Statistics,4,Graded,Fall,,,,(OPHLS-AG),,"due to an overlap in content, students may receive credit for only one course in the following group: AEM 2100, BTRY 3010, BTRY 6010, ENGRD 2700, HADM 2010, ILRST 2100, ILRST 6100, MATH 1710, PAM 2100, PAM 2101, PSYCH 2500, SOC 3010, STSCI 2100, STSCI 2200, STSCI 2150","Introduces statistical methods. Topics include the descriptive analysis of data, probability concepts and distributions, estimation and hypothesis testing, regression, and correlation analysis. Includes an introduction to Minitab, a statistical software package"
AEM 2110,The Business of Biofuels,1.5,Sat/Unsat,Fall (weeks 1-7),ECON 1110,,,,,,"After defining biofuels and identifying patterns of production, consumption and trade, several central issues on the economics and business of biofuels are addressed. These include an assessment of how effective biofuel policies are in meeting the various political goals, how biofuel policies established the crop-energy price link and hence the food-fuel trade-off, the unique contradictory and self-defeating effects of effects of combining mandates with different subsidies, the various surprising economic welfare effects of biofuel policies; and the various inconsistencies associated with binary sustainability standards, induced land use change and carbon leakages. The course will take a close look at the various factors that have created the rise of the biofuel industry and how the structure of crude oil refining, blending and retailing have consequently changed"
AEM 2200,Business Management and Organization,4,GradeNoAud,Fall,,,,,," due to an overlap in content, students will not receive credit for both AEM 2200 and ILRID 1700. In addition, due to an overlap in content, students will not receive credit for both AEM 1200 and AEM 2200, unless AEM 1200 was taken over the summer and before the student matriculated","Foundational course, meant to familiarize students with the use of core concepts in marketing, accounting, organizational design and management, entrepreneurship and strategy, teamwork, leadership, and ethics; as well as with the Dyson/AEM major and the business careers that may follow it. Significant writing and analytical components (both individual and team based case study analysis, evaluation of a U.S. publicly traded corporation)"
AEM 2210,Financial Accounting,3,GradeNoAud,"Fall, Winter, Spring, Summer",,,,,,"due to an overlap in content, students will receive credit for only one course in the following group: AEM 2210, AEM 2225, HADM 1210, HADM 2230","Comprehensive introduction to financial accounting concepts and techniques, intended to provide a basic understanding of the accounting cycle, elements of financial statements, underlying theory of GAAP, and financial statement interpretation. Topics include methods of recording inventory, receivables, depreciation, bonds, and equity. Requires two evening prelims and a comprehensive final; weekly homework assignments"
AEM 2220,Foundational Perspectives and Contemporary Issues in Entrepreneurship,3,Graded,"Fall, Spring",,,,,,,"This course aims to introduce students to foundational theories and contemporary issues pertaining to entrepreneurship. A primary objective of this course is to broaden students' perspectives on entrepreneurship and the myriad ways that entrepreneurial activity contributes to innovation, economic growth, and society. Students will be introduced to foundational thinking, leading-edge research and key frameworks that address central questions of entrepreneurship. In addition, this course will help students develop a deeper understanding of their own interest in entrepreneurship and how it will help them to advance their careers"
AEM 2225,Financial Accounting For Dyson Majors,4,GradeNoAud,"Fall, Spring",,,,,,"due to an overlap in content, students will receive credit for only one course in the following group: AEM 2210, AEM 2225, HADM 1210, HADM 2230","Comprehensive introduction to financial accounting concepts and applications. Focuses primarily on recording and communicating financial information for use by external users such as investors, creditors and regulators, and is intended to provide a basic understanding of the accounting cycle, elements of financial statements, Generally Accepted Accounting Principles, and financial statement interpretation. Topics include accounting for inventory, receivables, depreciation, bonds, equity, and cash flows"
AEM 2241,Finance,3,GradeNoAud,"Fall, Spring","AEM 2100, AEM 1200, AEM 2210; or equivalents",,,,,"due to an overlap in content, students will receive credit for only one course in the following group: AEM 2240, AEM 2241, HADM 2220, HADM 2250, NCC 5560","This course is a survey of topics in finance. It focuses on the mathematics of finance, valuation, the economics of managerial decisions, corporate financial policy, risk management, investments, and personal finance"
AEM 2350,Introduction To The Economics Of Development,3,Stdnt Opt,"Fall, Summer","ECON 1110, ECON 1120",,,(SBA-AG),,,This course is intended as an introduction to the economics of low income countries. It focuses on the policies and constraints to promoting growth and development
AEM 2400,Marketing,3,Stdnt Opt,"Fall, Winter, Summer",,,,,,"due to an overlap in content, students will receive credit for only one course in the following group: AEM 2400, AEM 2420, HADM 2410, HADM 2430","Provides a broad introduction to the fundamentals of marketing. Explores the components of an organization's strategic marketing program, including how to price, promote, and distribute goods and services. Industry guest lectures and current marketing applications from various companies are presented and analyzed"
AEM 2500,Environmental and Resource Economics,3,Stdnt Opt,Fall,ECON 1110,,,(SBA-AG),,"due to an overlap in content, students will not receive credit for both AEM 1500 and AEM 2500","This course uses microeconomics to understand the causes and how to devise solutions to environmental and natural resource problems. Subjects include valuation, benefit-cost analysis, policy design and property rights. The course relies on these concepts to explore major current policy issues such as economic incentives in environmental policy, air and water pollution, depletion of renewable and nonrenewable resources, and global warming. Students are evaluated based on problems sets, short essays, 3 quizzes and 3 prelims"
AEM 2600,Managerial Economics,3,Graded,Fall,"ECON 1110, MATH 1106 or MATH 1110",,,,,"due to an overlap in content, students will receive credit for only one course in the following group: AEM 2600, AEM 5600, ECON 3030, PAM 2000)","This course covers microeconomic principles that inform managerial decisions in firms and organizations. The course will touch on how these principles apply to the Dyson School research foci of management, agribusiness, environmental sustainability, and emerging markets"
AEM 2700,Management Communication,3,Graded,"Fall, Spring",,,,,,,"Management Communication is intended to help you think strategically about communication and aid you in improving your writing, presentation, and interpersonal communication skills as a future manager. We will look at a set of ""best practices"" or guidelines that have been derived from both research and experience, give you the opportunity to put those guidelines into practice, and provide you with feedback on your work to help you strengthen your abilities. More often than not, we will be using a workshop format that will rely heavily on discussion and in-class exercises"
AEM 2800,Hot Economic Issues in the News Today,3,GradeNoAud,Fall,"ECON 1110, ECON 1120",,,(SBA-AG),,,This course is a writing in the disciplines course in current economic issues. It is intended as a topical course focusing on selected issues that are important to the national debate. The basic analysis taught in ECON 1110 and ECON 1120 is taken as the point of departure and is used to illuminate these issues
AEM 2820,Introduction to Database Management Systems,3,GradeNoAud,Fall,AEM 2010,,,,,"due to an overlap in content, students will receive credit for only one course in the following group: AEM 2820, HADM 3740, HADM 6740)","Introduces the principals and functions of relational database management systems (DBMS) and their business application. Students will explore both logical and physical database designs and develop a clear understanding of the concepts and terminology related to DBMS. A small relational database will be designed and students will learn to run SQL queries. Students will learn a set of skills to describe what happened in the past using queries, descriptive statistics, data visualization, and some data mining techniques. Excel add-ins and other DBMS software may also be employed"
AEM 2840,Python Programming for Data Analysis & Business Modeling,3,GradeNoAud,Fall,,,,,,"due to an overlap in content, students will not receive credit for both AEM 2840 and CS 1110","This course is an introduction to programming with Python for students aiming to enter the world of business analytics. Using business applied cases students will increase decision making efficiency and productivity through a detailed understanding of Python programming languages. Students will also learn how to use a range of Python libraries for data analytics such as NumPy, MatPlotLib, Seaborn, Pandas, and Scikit"
