Code,Title,Credits,Grading,Semesters Offered,Prerequisites,Corequisites,Crosslisted,Distribution Category,Breadth Requirement,Forbidden Overlap,Description
AAS 1100,Introduction to Asian American Studies,4,Stdnt Opt,Spring,,,,(CA-AS),,,"This interdisciplinary course offers an introduction to the study of Asian/Pacific Islanders in the U.S. This course will examine, through a range of disciplines (including history, literary studies, film/media, performance, anthropology, sociology), issues and methods that have emerged from Asian American Studies since its inception in the late 1960s, including the types of research questions and methods that the study of Asians & Pacific Islander peoples in the U.S. as well as politics and historical relations in the Asia/Pacific region have to offer. In this course, we will pay particular attention to the role of culture and its production in documenting histories, formulating critical practices, and galvanizing political efforts. Topics and themes include: war & empire; queer & feminist lives and histories; refugee, adoptees, transnational families, and other forms of kinship & belonging; anti-Asian violence; settler colonialism and postcolonial critique"
AAS 2620,Introduction to Asian American Literature,4,Stdnt Opt,Spring,,,"AMST 2620, ENGL 2620",(LA-AS),,,"This course will introduce both a variety of writings by Asian North American authors and some critical issues concerning the production and reception of Asian American texts. Working primarily with novels, we will be asking questions about the relation between literary forms and the socio-historical context within which they take on their meanings, and about the historical formation of Asian American identities"
AAS 2641,Race and Modern US History,4,Stdnt Opt,Spring,,,"AMST 2645, ASRC 2631, HIST 2641",(HA-AS),,,"This course surveys modern U.S. history, from Reconstruction to the contemporary period. It will examine how race has been the terrain on which competing ideas of the American nation have been contested. From struggles over citizenship rights to broader meanings of national belonging, we will explore how practices, ideas, and representations have shaped political, cultural, and social power. A key concern for this course is examining how groups and individuals have pursued racial justice from the late-nineteenth century to the present"
AAS 3030,Asians in the Americas: A Comparative Perspective,4,Stdnt Opt,Spring,,,"AMST 3703, ANTHR 3703, ANTHR 6703",(CA-AS),(HB),,"The common perception of ethnicity is that it is a ""natural"" and an inevitable consequence of cultural difference. ""Asians"" overseas, in particular, have won repute as a people who cling tenaciously to their culture and refuse to assimilate into their host societies and cultures. But, who are the ""Asians?"" On what basis can we label ""Asians"" an ethnic group? Although there is a significant Asian presence in the Caribbean, the category ""Asian"" itself does not exist in the Caribbean. What does this say about the nature of categories that label and demarcate groups of people on the basis of alleged cultural and phenotypical characteristics? This course will examine the dynamics behind group identity, namely ethnicity, by comparing and contrasting the multicultural experience of Asian populations in the Caribbean and the United States. Ethnographic case studies will focus on the East Indian and Chinese experiences in the Caribbean and the Chinese, Korean, Japanese, Filipino, and Indian experiences in the United States"
AAS 4550,Race and the University,4,Stdnt Opt,Spring,,,"AMST 4550, ENGL 4961, HIST 4551",(SBA-AS),,,"What is a university, what does it do, and how does it do it? Moving out from these more general questions, this seminar will focus on a more specific set of questions concerning the place of race within the university. What kinds of knowledge are produced in the 20th- century U.S. university? Why is it, and how is it, that certain knowledge formations and disciplines come to be naturalized or privileged within the academy? How has the emergence of fields of inquiry such as Ethnic Studies (with an epistemological platform built on the articulations of race, class and gender) brought to the fore (if not brought to crisis) some of the more vexing questions that strike at the core of the idea of the university as the pre-eminent site of disinterested knowledge? This seminar will give students the opportunity to examine American higher education's (particularly its major research institutions) historical instantiation of the relations amongst knowledge, power, equality and democracy"
AAS 4950,Independent Study,1-4,Stdnt Opt,"Fall, Spring",,,,,,,Independent reading course in topics not covered in regularly scheduled courses. Students select a topic in consultation with the faculty member who has agreed to supervise the course work
AAS 6818,"Race, Performance, and Sound Studies",4,Stdnt Opt,,,,"AMST 6818, PMA 6818",,,,"This course engages with new and foundational writings in sound studies that center the racialized body -- be it of the performer, listener, or critic -- as well as racialized histories, places, and practices. This interdisciplinary course will study methodological tools, critical concepts, and readings drawn from queer, feminist, black, Latinx, Asian American, and postcolonial approaches, to name a few. We will engage with the role of sound and its technologies throughout U.S. history (i.e. slavery, wars and empire, social movements, immigration & migration, militarism) as well as the ways in which racialized performers, listeners, and critics have labored within and against these sonic regimes, imagining new politics, practices, and ways of being"
AEM 1200,Introduction to Business Management,3,Graded,"Spring, Summer",,,,,,"due to an overlap in content, students will not receive credit for both: AEM 1200 and ILRID 1700. In addition, due to an overlap in content, students will not receive credit for both AEM 1200 and AEM 2200, unless AEM 1200 was taken over the summer and before the student matriculated","Provides an overview of management and business. Human resource, marketing, finance, and strategy concerns are addressed with consideration paid to current issues such as technological innovation and its impact on operations, globalization, ethics, teamwork, leadership, and entrepreneurship. Opportunity to deliver an integrative group project"
AEM 1500,An Introduction to the Economics of Environmental and Natural Resources,3,Stdnt Opt,Spring,MATH 1106 or MATH 1110 or equivalent,,,(SBA-AG),," due to an overlap in content, students will not receive credit for both AEM 1500 and AEM 2500. Students who have already taken Introductory Microeconomics should enroll in AEM 2500","This course provides an introduction to the economic foundations for public decision-making regarding environmental quality and natural resources. Emphasis is placed on how basic tools of economic analysis can be used to identify sources of environmental problems and solutions to these problems. Topics to be covered include ""individual hand"" concepts underlying market success, market failure with particular focus on public goods and externalities, benefit-cost analysis and non-market valuation, incentive-based policies for controlling pollution, and economic aspects of renewable and non-renewable resources"
AEM 2000,Contemporary Controversies in the Global Economy,3,Stdnt Opt,"Fall, Spring",ECON 1110. Recommended prerequisite: ECON 1120,,,,,,"This course aims to stimulate critical thinking, economic reasoning, and cogent writing about contemporary controversies that attract regular attention in the international press and among key private and public sector decision-makers. Students read and discuss competing arguments about current issues such as morally questionable market exchange among willing buyres and sellers, immigration policy, foreign aid, sovereign debt forgiveness, regulating genetically modified foods, etc. Students write, edit, and rewrite short briefing papers which are evaluated for quality of communication as well as subject matter content"
