Code,Title,Credits,Grading,Semesters Offered,Prerequisites,Corequisites,Crosslisted,Distribution Category,Breadth Requirement,Forbidden Overlap,Description
AEM 2011,Spreadsheet Modeling for Non-Dyson Majors,3,GradeNoAud,"Fall, Winter, Spring, Summer",,,,,,,"This course will be developed as a data-driven, model-based approach to decision-making. Most applications will rely on the standard array of Excel functionality but other platforms (e.g., Access, SQL, presentation software) may be employed. A unique feature of this course will be applications drawn from the diverse program areas of the Dyson School: management, international development/trade; environment/resource economics; and food/agricultural economics. Case material will be contributed by the companies from the DUAC. Key topics will include: Optimization (Solver), Data graphing, Financial modeling, Ethical/social dimensions of IT, Forecasting, Pivot tables, Exponential smoothing, and Simulation"
AEM 2210,Financial Accounting,3,GradeNoAud,"Fall, Winter, Spring, Summer",,,,,,"due to an overlap in content, students will receive credit for only one course in the following group: AEM 2210, AEM 2225, HADM 1210, HADM 2230","Comprehensive introduction to financial accounting concepts and techniques, intended to provide a basic understanding of the accounting cycle, elements of financial statements, underlying theory of GAAP, and financial statement interpretation. Topics include methods of recording inventory, receivables, depreciation, bonds, and equity. Requires two evening prelims and a comprehensive final; weekly homework assignments"
AEM 2400,Marketing,3,Stdnt Opt,"Fall, Winter, Summer",,,,,,"due to an overlap in content, students will receive credit for only one course in the following group: AEM 2400, AEM 2420, HADM 2410, HADM 2430","Provides a broad introduction to the fundamentals of marketing. Explores the components of an organization's strategic marketing program, including how to price, promote, and distribute goods and services. Industry guest lectures and current marketing applications from various companies are presented and analyzed"
AEM 3230,Managerial Accounting,3,Graded,"Winter, Spring, Summer","AEM 2210, AEM 2225 or equivalent",,,,,,"This course provides an introduction to the basic concepts, analyses, uses, and procedures of accounting and control used by internal company managers when they are faced with planning, directing, controlling, and decision-making activities in their organization. Topics covered focus on the relationship between strategy and decision-making and include product and service costing, budget setting, decision-making, profitability analysis, pricing, investment analysis, management control systems, and performance measurement"
AEM 3991,Global Business Strategy,3,Stdnt Opt,"Winter, Summer",,,NBA 5991,,,,"In today's globalized and interconnected world, more and more companies are going abroad to pursue their major business objectives. How can they take advantage of the global marketplace and create economic value through their multimarket activities? This distance learning course gives students a basic grounding in global business, so they can become capable of understanding and analyzing events and trends in the global business environment and their impact on managerial decision making. Through a series of case discussions and an internationalization project for a local company, students develop practical skills in applying the tools of global strategic analysis in concrete business situations. Students registered for NBA 5991 will be required to analyze a current-event situation based on the theoretical and methodological framework developed in this course"
ALS 2100,Teams and Leaders in Action,3,Graded,,,,,,,,No description available
AMST 3141,Prisons,4,Stdnt Opt,"Winter, Summer",,,GOVT 3141,(SBA-AS),,,"The United States stands alone among Western, industrialized countries with its persistent, high rates of incarceration, long sentences, and continued use of the death penalty. This ""American exceptionalism"" -- the turn to mass incarceration -- has been fostered by the use of sharply-delineated categories that define vast numbers of people as outlaws and others as law-abiding. These categories that are based on ideas of personal responsibility and assumptions about race are modified somewhat by a liberal commitment to human rights.   Our purpose in this course is to understand how such ideas have taken root and to locate the consequences of these ideas for policy and practice. "
ANTHR 1300,"Human Evolution: Genes, Behavior, and the Fossil Record",3,Stdnt Opt,"Spring, Summer",,,,(PBSS-AS),,,"The evolution of humankind is explored through the fossil record, studies of the biological differences among current human populations, and a comparison with our closest relatives, the primates. This course investigates the roots of human biology and behavior with an evolutionary framework"
BIOEE 2526,Ecology and Conservation of Wildlife in the Neotropics II,4,Multi-Term,"Multi-semester course, Spring (weeks 1-7)",,,,(BIO-AG),,,"This on-campus and international field course combination provides participating students with a broad introduction to the research process in field ecology, with literature and hands-on examples drawn from the fauna and flora of coastal Patagonia (Argentina), an area that provides us with unprecedented access to both marine and terrestrial wildlife as well as exposure to conservation challenges and success stories. During the 2+ week field component in January, students travel among field sites in Patagonia and put the knowledge gained in the Fall semester to work in an experiential context by designing and implementing a series of research projects, including numerous short 'blitz' projects and several longer, more intensive independent projects; many of these field studies involve close-hand observations of marine mammals, penguins, or other seabirds. The 7-week Spring semester component is focused on building skills in data analysis and scientific writing, based on the data collected in the field by each student"
BIOEE 2641,Tropical Field Ornithology II,3,Multi-Term,"Multi-semester course, (Winter)",BIOEE 2640,,,,,,"Provides students with the opportunity to study birds intensively in a neotropical environment. Students learn observational and field techniques, formulate and participate in group research projects"
CLASS 2604,Greek Mythology,3,Stdnt Opt,"Fall, Winter, Summer",,,,(LA-AS),(HB),,"Survey of the Greek myths, with emphasis on the content and significance of the myths in Mediterranean society, including the place of myth in Greek life and consciousness; the factors and influences involved in the creation of myths; and the use of myths for our understanding of Greek literature, religion, and moral and political concepts"
